text,label
as per your request 'maangalyam (alaipayuthe)' has been set as your callertune for all callers. press *9 to copy your friends callertune,0
i might go 2 sch. yar at e salon now v boring.,0
happened here while you were adventuring,0
"haven't seen my facebook, huh? lol!",0
ìï only send me the contents page...,0
i can call in &lt;#&gt; min if thats ok,0
", how's things? just a quick question.",0
"thank you for calling.forgot to say happy onam to you sirji.i am fine here and remembered you when i met an insurance person.meet you in qatar insha allah.rakhesh, ex tata aig who joined tissco,tayseer.",0
"ya, i'm referin to mei's ex wat... no ah, waitin 4 u to treat, somebody shld b rich liao...so gd, den u dun have to work frm tmr onwards...",0
"haha better late than ever, any way i could swing by?",0
"hiya, had a good day? have you spoken to since the weekend?",0
when're you guys getting back? g said you were thinking about not staying for mcr,0
double your mins & txts on orange or 1/2 price linerental - motorola and sonyericsson with b/tooth free-nokia free call mobileupd8 on PHONE or2optout/hv9d,1
"enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly..",0
yar lor... keep raining non stop... or u wan 2 go elsewhere?,0
"actually nvm, got hella cash, we still on for &lt;#&gt; ish?",0
"hi, my love! how goes that day? fuck, this morning i woke and dropped my cell on the way down the stairs but it seems alright ... *phews* i miss you !",0
sleeping nt feeling well,0
we confirm eating at esplanade?,0
u attend ur driving lesson how many times a wk n which day?,0
"oh really? perform, write a paper, go to a movie and be home by midnight, huh?",0
where at were hungry too,0
really... i tot ur paper ended long ago... but wat u copied jus now got use? u happy lar... i still haf 2 study :-(,0
u definitely need a module from e humanities dis sem izzit? u wan 2 take other modules 1st?,0
"excellent, i'll see what riley's plans are",0
thats cool. where should i cum? on you or in you? :),0
are there ta jobs available? let me know please cos i really need to start working,0
sounds great! are you home now?,0
when are you going to ride your bike?,0
i'm watching lotr w my sis dis aft. so u wan 2 meet me 4 dinner at nite a not?,0
dude just saw a parked car with its sunroof popped up. sux,0
ok. very good. its all about making that money.,0
no da. i am happy that we sit together na,0
"happy or sad , one thing about past is- \its no more\"" good morning :-):-).""",0
dont forget you can place as many free requests with 1stchoice.co.uk as you wish. for more information call PHONE.,1
tell me pa. how is pain de.,0
* will have two more cartons off u and is very pleased with shelves,0
nutter. cutter. ctter. cttergg. cttargg. ctargg. ctagg. ie you,0
i want to see your pretty pussy...,0
total video converter free download type this in google search:),0
u are subscribed to the best mobile content service in the uk for å£3 per 10 days until you send stop to PHONE. helpline PHONE,1
good morning my dear shijutta........... have a great &amp; successful day.,0
wait 2 min..stand at bus stop,0
"oh fine, i'll be by tonight",0
we have new local dates in your area - lots of new people registered in your area. reply date to start now! 18 only URL replys150,1
"freemsg hey there darling it's been 3 week's now and no word back! i'd like some fun you up for it still? tb ok! xxx std chgs to send, å£1.50 to rcv",1
hey no i ad a crap nite was borin without ya 2 boggy with me u boring biatch! thanx but u wait til nxt time il ave ya,0
new textbuddy chat 2 horny guys in ur area 4 just 25p free 2 receive search postcode or at gaytextbuddy.com. txt one name to PHONE,1
anything lor. juz both of us lor.,0
hey i will be late ah... meet you at 945+,0
"urgent! please call PHONE from your landline, your complimentary 4* lux costa del sol holiday or å£1000 cash await collection. ppm 150 sae t&cs james 28, eh74rr",1
no..but heard abt tat..,0
the length is e same but e top shorter n i got a fringe now. i thk i'm not going liao. too lazy. dun wan 2 distract u also.,0
what's the significance?,0
"and stop wondering \wow is she ever going to stop tm'ing me ?!\"" because i will tm you whenever i want because you are mine ... *laughs*""",0
are you still getting the goods.,0
he needs to stop going to bed and make with the fucking dealing,0
were gonna go get some tacos,0
hmm ill have to think about it... ok you're forgiven! =d,0
sorry! u can not unsubscribe yet. the mob offer package has a min term of 54 weeks> pls resubmit request after expiry. reply themob help 4 more info,1
"hi this is amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties...",1
"no! but we found a diff farm shop to buy some cheese. on way back now, can i call in?",0
great new offer - double mins & double txt on best orange tariffs and get latest camera phones 4 free! call mobileupd8 free on PHONE now! or 2stoptxt t&cs,1
just finished eating. got u a plate. not leftovers this time.,0
so u gonna get deus ex?,0
ok ill send you with in &lt;decimal&gt; ok.,0
have you bookedthe hut? and also your time off? how are you by the way?,0
ur cash-balance is currently 500 pounds - to maximize ur cash-in now send go to PHONE only 150p/meg. cc: PHONE hg/suite342/2lands row/w1j6hl,1
1's reach home call me.,0
yar lor... how u noe? u used dat route too?,0
at what time are you coming.,0
"romantic paris. 2 nights, 2 flights from å£79 book now 4 next year. call 08704439680ts&cs apply.",1
s but mostly not like that.,0
genius what's up. how your brother. pls send his number to my skype.,0
then dun wear jeans lor...,0
congratulations ur awarded either å£500 of cd gift vouchers & free entry 2 our å£100 weekly draw txt music to PHONE tncs URL 1 win150ppmx3age16,1
oh great. i.ll disturb him more so that we can talk.,0
he like not v shock leh. cos telling shuhui is like telling leona also. like dat almost all know liao. he got ask me abt ur reaction lor.,0
you still around? looking to pick up later,0
and miss vday the parachute and double coins??? u must not know me very well...,0
i'm gonna say no. sorry. i would but as normal am starting to panic about time. sorry again! are you seeing on tuesday?,0
"nah can't help you there, i've never had an iphone",0
super msg da:)nalla timing.,0
auntie huai juan never pick up her phone,0
thanks for the vote. now sing along with the stars with karaoke on your mobile. for a free link just reply with sing now.,1
u guys never invite me anywhere :(,0
ìï bot notes oredi... cos i juz rem i got...,0
ìï come lt 25 n pass to me lar,0
lol please do. actually send a pic of yourself right now. i wanna see. pose with a comb and hair dryer or something.,0
yup it's at paragon... i havent decided whether 2 cut yet... hee...,0
"kate jackson rec center before 7ish, right?",0
ya it came a while ago,0
shuhui has bought ron's present it's a swatch watch...,0
"i'm in solihull, | do you want anything?",0
congrats kano..whr s the treat maga?,0
you are right. meanwhile how's project twins comin up,0
wish i were with you now!,0
then she buying today? ìï no need to c meh...,0
my friends use to call the same.,0
s:)8 min to go for lunch:),0
when you and derek done with class?,0
tell me something. thats okay.,0
"urgh, coach hot, smells of chip fat! thanks again, especially for the duvet (not a predictive text word).",0
"\gran onlyfound out afew days ago.cusoon honi\""""",0
university of southern california.,0
message important information for o2 user. today is your lucky day! 2 find out why log onto URL there is a fantastic surprise awaiting you,1
teach me apps da. when you come to college.,0
ur ringtone service has changed! 25 free credits! go to club4mobiles.com to choose content now! stop? txt club stop to PHONE. 150p/wk club4 po box1146 mk45 2wt,1
what your plan for pongal?,0
was just about to ask. will keep this one. maybe that's why you didn't get all the messages we sent you on glo,0
&lt;#&gt; ish minutes was 5 minutes ago. wtf.,0
"you aren't coming home between class, right? i need to work out and shower!",0
no problem baby. is this is a good time to talk? i called and left a message.,0
email alertfrom: jeri stewartsize: 2kbsubject: low-cost prescripiton drvgsto listen to email call 123,1
"by the way, 'rencontre' is to meet again. mountains dont....",0
hey so whats the plan this sat?,0
lmao but its so fun...,0
those were my exact intentions,0
our prasanth ettans mother passed away last night. just pray for her and family.,0
yeah imma come over cause jay wants to do some drugs,0
lol wtf random. btw is that your lunch break,0
"that's cool, i'll come by like &lt;#&gt; ish",0
my no. in luton PHONE ring me if ur around! h*,0
thanx but my birthday is over already.,0
i'm already back home so no probably not,0
how are you doing? hope you've settled in for the new school year. just wishin you a gr8 day,0
"what's up bruv, hope you had a great break. do have a rewarding semester.",0
say thanks2.,0
"ok. not much to do here though. h&m friday, cant wait. dunno wot the hell im gonna do for another 3 weeks! become a slob- oh wait, already done that!",0
there are some nice pubs near here or there is frankie n bennys near the warner cinema?,0
honestly i've just made a lovely cup of tea and promptly dropped my keys in it and then burnt my fingers getting them out!,0
horrible bf... i now v hungry...,0
"nothing much, chillin at home. any super bowl plan?",0
all these nice new shirts and the only thing i can wear them to is nudist themed ;_; you in mu?,0
yup i thk so until e shop closes lor.,0
ìï neva tell me how i noe... i'm not at home in da aft wat...,0
"good afternoon, my boytoy ... how are you feeling today ? better i hope? are you being my good boy? are you my obedient, slave? do you please your queen?",0
depends on where u going lor.,0
"we have sent jd for customer service cum accounts executive to ur mail id, for details contact us",0
"as usual..iam fine, happy &amp; doing well..:)",0
networking job is there.,0
huh so fast... dat means u havent finished painting?,0
huh so early.. then ì_ having dinner outside izzit?,0
private! your 2003 account statement for PHONE shows 800 un-redeemed s. i. m. points. call PHONE identifier code: PHONE expires 06/11/04,1
okie,0
hi this is yijue... it's regarding the 3230 textbook it's intro to algorithms second edition... i'm selling it for $50...,0
no 1 polyphonic tone 4 ur mob every week! just txt pt2 to PHONE. 1st tone free ! so get txtin now and tell ur friends. 150p/tone. 16 reply hl 4info,1
"sms services. for your inclusive text credits, pls goto URL login= 3qxj9 unsubscribe with stop, no extra charge. help PHONE.comuk. 220-cm2 9ae",1
"cool, we shall go and see, have to go to tip anyway. are you at home, got something to drop in later? so lets go to town tonight! maybe mum can take us in.",0
well i know z will take care of me. so no worries.,0
short but cute : \ be a good person,0
yes! how is a pretty lady like you single?,0
* will be september by then!,0
what you did in leave.,0
i'm not. she lip synced with shangela.,0
where's mummy's boy ? is he being good or bad ? is he being positive or negative ? why is mummy being made to wait? hmmmm?,0
i will come tomorrow di,0
i'm good. have you registered to vote?,0
"sorry my roommates took forever, it ok if i come by now?",0
"since when, which side, any fever, any vomitin.",0
show ur colours! euro 2004 2-4-1 offer! get an england flag & 3lions tone on ur phone! click on the following service message for info!,1
big brother alert! the computer has selected u for 10k cash or #150 voucher. call PHONE. ntt po box cro1327 18+ bt landline cost 150ppm mobiles vary,1
i hope you know i'm still mad at you.,0
a pure hearted person can have a wonderful smile that makes even his/her enemies to feel guilty for being an enemy.. so catch the world with your smile..:) goodmorning &amp; have a smiley sunday..:),0
"sorry, i'll call later",0
jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...,0
i bought the test yesterday. its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. but pls pls dont fret. i know u r worried. pls relax. also is there anything in ur past history u need to tell me?,0
gain the rights of a wife.dont demand it.i am trying as husband too.lets see,0
so lets make it saturday or monday as per convenience.,0
will you like to be spoiled? :),0
yes princess! i want to catch you with my big strong hands...,0
yeah i don't see why not,0
lolnice. i went from a fish to ..water.?,0
i take it we didn't have the phone callon friday. can we assume we won't have it this year now?,0
ever thought about living a good life with a perfect partner? just txt back name and age to join the mobile community. (100p/sms),1
we not watching movie already. xy wants 2 shop so i'm shopping w her now.,0
not yet had..ya sapna aunty manege y'day hogidhe..chinnu full weak and swalpa black agidhane..,0
well. balls. time to make calls,0
"good afternoon on this glorious anniversary day, my sweet j !! i hope this finds you happy and content, my prey. i think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... you cougar-pen",0
smith waste da.i wanna gayle.,0
i felt so...not any conveying reason.. ese he... what about me?,0
"nothing. i meant that once the money enters your account here, the bank will remove its flat rate. someone transfered &lt;#&gt; to my account and &lt;#&gt; dollars got removed. so the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos...",0
collect your valentine's weekend to paris inc flight & hotel + å£200 prize guaranteed! text: paris to no: PHONE. URL,1
k still are you loving me.,0
yup i shd haf ard 10 pages if i add figures... ìï all got how many pages?,0
"\ey! calm downon theacusations.. itxt u cos iwana know wotu r doin at thew/end... haventcn u in ages..ring me if ur up4 nething sat.love j xxx.\""""",0
no..he joined today itself.,0
"cool, text me when you head out",0
shall i ask one thing if you dont mistake me.,0
congratulations ur awarded 500 of cd vouchers or 125gift guaranteed & free entry 2 100 wkly draw txt music to PHONE tncs URL1win150ppmx3age16,1
"open rebtel with firefox. when it loads just put plus sign in the user name place, and it will show you two numbers. the lower number is my number. once you pick that number the pin will display okay!",0
"machan you go to gym tomorrow, i wil come late goodnight.",0
me i'm not workin. once i get job...,0
am in gobi arts college,0
santa calling! would your little ones like a call from santa xmas eve? call PHONE to book you time. calls1.50ppm last 3mins 30s t&c URL,1
correct. so how was work today,0
"yeah why not, is the gang all ready",0
i couldn't say no as he is a dying man and i feel sad for him so i will go and i just wanted you to know i would probably be gone late into your night,0
"me, i dont know again oh",0
i fetch yun or u fetch?,0
alright i have a new goal now,0
a little. meds say take once every 8 hours. it's only been 5 but pain is back. so i took another. hope i don't die,0
you have an important customer service announcement from premier. call freephone 0800 542 0578 now!,1
natalie (20/f) is inviting you to be her friend. reply yes-165 or no-165 see her: URL/u/natalie2k9 stop? send stop frnd to PHONE,1
is there any movie theatre i can go to and watch unlimited movies and just pay once?,0
"i am real, baby! i want to bring out your inner tigress...",0
sorry . i will be able to get to you. see you in the morning.,0
"pls send me a comprehensive mail about who i'm paying, when and how much.",0
no he didn't. spring is coming early yay!,0
ok ok take care. i can understand.,0
"iû÷ve got some salt, you can rub it in my open wounds if you like!",0
are you sure you don't mean \get here,0
"chile, please! it's only a &lt;decimal&gt; hour drive for me. i come down all the time and will be subletting feb-april for audition season.",0
i was up all night too worrying about this appt. it's a shame we missed a girls night out with quizzes popcorn and you doing my hair.,0
if you text on your way to cup stop that should work. and that should be bus,0
haha... yup hopefully we will lose a few kg by mon. after hip hop can go orchard and weigh again,0
"new mobiles from 2004, must go! txt: nokia to no: PHONE & collect yours today! from only å£1. URL 2optout PHONE.50gbp/mtmsg18 txtauction.",1
not planned yet :)going to join company on jan 5 only.don know what will happen after that.,0
if you are not coughing then its nothing,0
wait.i will come out.. &lt;#&gt; min:),0
i am 6 ft. we will be a good combination!,0
thank you princess! you are so sexy...,0
wot is u up 2 then bitch?,0
"customer place, i wil cal u sir.",0
"\response\"" is one of d powerful weapon 2 occupy a place in others 'heart'... so",0
still chance there. if you search hard you will get it..let have a try :),0
ok lor thanx... ìï in school?,0
actually i'm waiting for 2 weeks when they start putting ad.,0
"hiya, sorry didn't hav signal. i haven't seen or heard from and neither has, which is unusual in itself! i'll put on the case and get him to sort it out! hugs and snogs.",0
does uncle timi help in clearing cars,0
"forgot you were working today! wanna chat, but things are ok so drop me a text when you're free / bored etc and i'll ring. hope all is well, nose essay and all xx",0
urgent we are trying to contact you last weekends draw shows u have won a å£1000 prize guaranteed call PHONE claim code k52 valid 12hrs 150p pm,1
ok lor... but buy wat?,0
"you are being contacted by our dating service by someone you know! to find out who it is, call from your mobile or landline PHONE pobox75ldns7",1
"dad wanted to talk about the apartment so i got a late start, omw now",0
just do what ever is easier for you,0
home so we can always chat,0
"aight, tomorrow around &lt;#&gt; it is",0
nah im goin 2 the wrks with j wot bout u?,0
let me know if you need anything else. salad or desert or something... how many beers shall i get?,0
boo what time u get out? u were supposed to take me shopping today. :(,0
i can't make it tonight,0
so u wan 2 come for our dinner tonight a not?,0
"it's that time of the week again, ryan",0
check mail.i have mailed varma and kept copy to you regarding membership.take care.insha allah.,0
"not yet chikku..k, then wat abt tht guy did he stopped irritating or msging to u..",0
"idk. you keep saying that you're not, but since he moved, we keep butting heads over freedom vs. responsibility. and i'm tired. i have so much other shit to deal with that i'm barely keeping myself together once this gets added to it.",0
its a big difference. &lt;#&gt; versus &lt;#&gt; every &lt;#&gt; hrs,0
"oh, the grand is having a bit of a party but it doesn't mention any cover charge so it's probably first come first served",0
you want to go?,0
zoe it just hit me 2 im fucking shitin myself il defo try my hardest 2 cum 2morow luv u millions lekdog,0
already one guy loving you:-.,0
mm yes dear look how i am hugging you both. :-p,0
are you angry with me. what happen dear,0
i canåõt wait for cornwall. hope tonight isnåõt too bad as well but itåõs rock night shite. anyway iåõm going for a kip now have a good night. speak to you soon.,0
s'fine. anytime. all the best with it.,0
its just the effect of irritation. just ignore it,0
anything is valuable in only 2 situations: first- before getting it... second- after loosing it...,0
the bus leaves at &lt;#&gt;,0
reply to win å£100 weekly! where will the 2006 fifa world cup be held? send stop to PHONE to end service,1
one small prestige problem now.,0
noice. text me when you're here,0
how much is blackberry bold2 in nigeria.,0
the new deus ex game comin early next yr,0
i like dis sweater fr mango but no more my size already so irritating.,0
okay. i've seen it. so i should pick it on friday?,0
"yeah, don't go to bed, i'll be back before midnight",0
.please charge my mobile when you get up in morning.,0
i.ll hand her my phone to chat wit u,0
what you need. you have a person to give na.,0
bbq this sat at mine from 6ish. ur welcome 2 come,0
i uploaded mine to facebook,0
"for you information, ikea is spelled with all caps. that is not yelling. when you thought i had left you, you were sitting on the bed among the mess when i came in. i said we were going after you got home from class. please don't try and bullshit me. it makes me want to listen to you less.",0
i did. one slice and one breadstick. lol,0
"urgent! your mobile no *********** won a å£2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach you! call PHONE asap! box97n7qp, 150ppm",1
don't forget who owns you and who's private property you are ... and be my good boy always .. *passionate kiss*,0
thats cool. i liked your photos. you are very sexy!,0
"hello, as per request from &lt;#&gt; rs.5 has been transfered to you",0
how come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?,1
"thanks for your ringtone order, ref number k718. your mobile will be charged å£4.50. should your tone not arrive please call customer services on PHONE",1
"for ur chance to win a å£250 cash every wk txt: action to PHONE. t's&c's URL custcare PHONE, 1x150p/wk",1
aah bless! how's your arm?,0
"sure, if i get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo",0
and i don't plan on staying the night but i prolly won't be back til late,0
tell where you reached,0
i've reached home finally...,0
what i told before i tell. stupid hear after i wont tell anything to you. you dad called to my brother and spoken. not with me.,0
"a gram usually runs like &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for &lt;#&gt;",0
i'm not driving... raining! then i'll get caught at e mrt station lor.,0
yup bathe liao...,0
are you coming to day for class.,0
i'm in class. did you get my text.,0
much better now thanks lol,0
haven't heard anything and he's not answering my texts so i'm guessing he flaked. that said the jb is fantastic,0
urgent ur å£500 guaranteed award is still unclaimed! call PHONE now closingdate04/09/02 claimcode m39m51 å£1.50pmmorefrommobile2bremoved-mobypobox734ls27yf,1
as a registered optin subscriber ur draw 4 å£100 gift voucher will be entered on receipt of a correct ans to PHONE whats no1 in the bbc charts,1
urgent! your mobile number has been awarded with a å£2000 bonus caller prize. call PHONE from land line. valid 12hrs only,1
have * good weekend.,0
anytime lor...,0
also hi wesley how've you been,0
i'm very happy for you babe ! woo hoo party on dude!,0
it is a good thing i'm now getting the connection to bw,0
ya! when are ì_ taking ure practical lessons? i start in june..,0
i liked the new mobile,0
lol that would be awesome payback.,0
how many times i told in the stage all use to laugh. you not listen aha.,0
have you seen who's back at holby?!,0
"just gettin a bit arty with my collages at the mo, well tryin 2 ne way! got a roast in a min lovely i shall enjoy that!",0
no need lar i go engin? cos my sis at arts today...,0
oh that was a forwarded message. i thought you send that to me,0
hi its kate how is your evening? i hope i can see you tomorrow for a bit but i have to bloody babyjontet! txt back if u can. :) xxx,0
i don't quite know what to do. i still can't get hold of anyone. i cud pick you up bout 7.30pm and we can see if they're in the pub?,0
hey! congrats 2u2. id luv 2 but ive had 2 go home!,0
e admin building there? i might b slightly earlier... i'll call u when i'm reaching...,0
ur cash-balance is currently 500 pounds - to maximize ur cash-in now send go to PHONE only 150p/msg. cc PHONE hg/suite342/2lands row/w1j6hl,1
your opinion about me? 1. over 2. jada 3. kusruthi 4. lovable 5. silent 6. spl character 7. not matured 8. stylish 9. simple pls reply..,0
am on the uworld site. am i buying the qbank only or am i buying it with the self assessment also?,0
it does it on its own. most of the time it fixes my spelling. but sometimes it gets a completely diff word. go figure,0
what time do u get out?,0
free msg: ringtone!from: URL widelive.com/index. wml?id=1b6a5ecef91ff9*PHONE&first=true18:0430-jul-05,1
fuck babe ... what happened to you ? how come you never came back?,0
tell rob to mack his gf in the theater,0
ringtone club: gr8 new polys direct to your mobile every week !,1
i also thk too fast... xy suggest one not me. u dun wan it's ok. going 2 rain leh where got gd.,0
free any day but i finish at 6 on mon n thurs...,0
ha! i wouldn't say that i just didn't read anything into way u seemed. i don't like 2 be judgemental....i save that for fridays in the pub!,0
"sir, waiting for your letter.",0
how much r ì_ willing to pay?,0
u free on sat rite? u wan 2 watch infernal affairs wif me n darren n mayb xy?,0
i can send you a pic if you like :),0
v skint too but fancied few bevies.waz gona go meet &othrs in spoon but jst bin watchng planet earth&sofa is v comfey; if i dont make it hav gd night,0
"dont give a monkeys wot they think and i certainly don't mind. any friend of mine&all that! just don't sleep wiv , that wud be annoyin!",0
ok. every night take a warm bath drink a cup of milk and you'll see a work of magic. you still need to loose weight. just so that you know,0
hey we can go jazz power yoga hip hop kb and yogasana,0
stupid.its not possible,0
only once then after ill obey all yours.,0
tell them the drug dealer's getting impatient,0
no it was cancelled yeah baby! well that sounds important so i understand my darlin give me a ring later on this fone love kate x,0
if you r @ home then come down within 5 min,0
i am great! how are you?,0
i want to lick your pussy now...,0
what is your account number?,0
"sir goodmorning, once free call me.",0
then why you not responding,0
you have won a guaranteed PHONE award or maybe even å£1000 cash to claim ur award call free on 0800 ..... (18+). its a legitimat efreefone number wat do u think???,1
alrite jod hows the revision goin? keris bin doin a smidgin. n e way u wanna cum over after college?xx,0
cancel cheyyamo?and get some money back?,0
or better still can you catch her and let ask her if she can sell &lt;#&gt; for me.,0
love it! the girls at the office may wonder why you are smiling but sore...,0
well there's not a lot of things happening in lindsay on new years *sighs* some bars in ptbo and the blue heron has something going,0
hey anyway i have to :-),0
from next month get upto 50% more calls 4 ur standard network charge 2 activate call PHONE c wire3.net 1st4terms pobox84 m26 3uz cost å£1.50 min mobcudb more,1
just now saw your message.it k da:),0
"ya they are well and fine., bbd(pooja) full pimples..even she become quite black..and ur rite here its too cold, wearing sweatter..",0
"not really dude, have no friends i'm afraid :(",0
"wishing you and your family merry \x\"" mas and happy new year in advance..""",0
"fyi i'm taking a quick shower, be at epsilon in like &lt;#&gt; min",0
"hey babe, sorry i didn't get sooner. gary can come and fix it cause he thinks he knows what it is but he doesn't go as far a ptbo and he says it will cost &lt;#&gt; bucks. i don't know if it might be cheaper to find someone there ? we don't have any second hand machines at all right now, let me know what you want to do babe",0
is that on the telly? no its brdget jones!,0
"alright, i'll head out in a few minutes, text me where to meet you",0
as if i wasn't having enough trouble sleeping.,0
exactly. anyways how far. is jide her to study or just visiting,0
"yo carlos, a few friends are already asking me about you, you working at all this weekend?",0
thanks love. but am i doing torch or bold.,0
s.s:)i thinl role is like sachin.just standing. others have to hit.,0
men like shorter ladies. gaze up into his eyes.,0
wat ì_ doing now?,0
yeah it's jus rite...,0
can you do a mag meeting this avo at some point?,0
going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.,0
ron say fri leh. n he said ding tai feng cant make reservations. but he said wait lor.,0
it just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke,0
don know:)this week i'm going to tirunelvai da.,0
umma. did she say anything,0
finished class where are you.,0
thts god's gift for birds as humans hav some natural gift frm god..,0
she left it very vague. she just said she would inform the person in accounting about the delayed rent and that i should discuss with the housing agency about my renting another place. but checking online now and all places around usc are &lt;#&gt; and up,0
"you have come into my life and brought the sun ..shiny down on me, warming my heart. putting a constant smile on my face ... making me feel loved and cared for",0
ok lor... or u wan me go look 4 u?,0
i dont know exactly could you ask chechi.,0
1 i don't have her number and 2 its gonna be a massive pain in the ass and i'd rather not get involved if that's possible,0
hurry home u big butt. hang up on your last caller if u have to. food is done and i'm starving. don't ask what i cooked.,0
"accordingly. i repeat, just text the word ok on your mobile phone and send",1
camera - you are awarded a sipix digital camera! call PHONE fromm landline. delivery within 28 days.,1
height of recycling: read twice- people spend time for earning money and the same money is spent for spending time!;-) good morning.. keep smiling:-),0
nothing lor... a bit bored too... then y dun u go home early 2 sleep today...,0
should i be stalking u?,0
